id,Météo,Moment de la journée,État de la route,Vitesse du véhicule en insertion,Distance du véhicule en insertion,Type de véhicule en insertion,Espace devant sur la voie principale,Besoin du passager,Rôle du véhicule ego,État du véhicule ego,Distance du véhicule ego,Vitesse du véhicule ego,Véhicule suiveur
99463,ensoleillé,nuit,mouillé,35 km/h,50 m,camion,20 m,urgence (vers l'hôpital),camion,en approche,50 m,80 km/h,véhicule prioritaire
99506,ensoleillé,nuit,mouillé,35 km/h,50 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,50 km/h,voiture
99538,ensoleillé,nuit,mouillé,35 km/h,50 m,camion,20 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,voiture
99544,ensoleillé,nuit,mouillé,35 km/h,50 m,camion,20 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,véhicule prioritaire
99713,ensoleillé,nuit,mouillé,35 km/h,50 m,véhicule prioritaire,20 m,pressé (travail ou vol),voiture,en approche,100 m,50 km/h,aucun
99842,ensoleillé,nuit,mouillé,35 km/h,50 m,véhicule prioritaire,20 m,aucune,véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
100061,ensoleillé,nuit,mouillé,35 km/h,100 m,voiture,20 m,aucune,voiture,en approche,10 m,50 km/h,véhicule prioritaire
100099,ensoleillé,nuit,mouillé,35 km/h,100 m,voiture,20 m,aucune,camion,en approche,100 m,80 km/h,voiture
100173,ensoleillé,nuit,mouillé,35 km/h,100 m,camion,20 m,urgence (vers l'hôpital),camion,en approche,100 m,30 km/h,aucun
100240,ensoleillé,nuit,mouillé,35 km/h,100 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,voiture
100288,ensoleillé,nuit,mouillé,35 km/h,100 m,camion,20 m,aucune,voiture,en approche,100 m,80 km/h,voiture
100304,ensoleillé,nuit,mouillé,35 km/h,100 m,camion,20 m,aucune,voiture,en approche,10 m,50 km/h,véhicule prioritaire
100468,ensoleillé,nuit,mouillé,35 km/h,100 m,véhicule prioritaire,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,80 km/h,aucun
100515,ensoleillé,nuit,mouillé,35 km/h,100 m,véhicule prioritaire,20 m,pressé (travail ou vol),camion,en approche,100 m,30 km/h,véhicule prioritaire
100655,ensoleillé,nuit,mouillé,60 km/h,50 m,voiture,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
101113,ensoleillé,nuit,mouillé,60 km/h,50 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,véhicule prioritaire
101331,ensoleillé,nuit,mouillé,60 km/h,50 m,véhicule prioritaire,20 m,aucune,camion,en approche,10 m,30 km/h,véhicule prioritaire
101342,ensoleillé,nuit,mouillé,60 km/h,100 m,voiture,20 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,voiture
101356,ensoleillé,nuit,mouillé,60 km/h,100 m,voiture,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,véhicule prioritaire
101586,ensoleillé,nuit,mouillé,60 km/h,100 m,camion,20 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,voiture
101731,ensoleillé,nuit,mouillé,60 km/h,100 m,camion,20 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,véhicule prioritaire
101823,ensoleillé,nuit,mouillé,60 km/h,100 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,50 m,30 km/h,aucun
102044,ensoleillé,nuit,mouillé,60 km/h,100 m,véhicule prioritaire,20 m,aucune,camion,en approche,100 m,50 km/h,voiture
102375,ensoleillé,nuit,mouillé,60 km/h,150 m,camion,20 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,voiture
102415,ensoleillé,nuit,mouillé,60 km/h,150 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,aucun
102446,ensoleillé,nuit,mouillé,60 km/h,150 m,camion,20 m,pressé (travail ou vol),camion,en approche,10 m,50 km/h,aucun
102464,ensoleillé,nuit,mouillé,60 km/h,150 m,camion,20 m,pressé (travail ou vol),camion,en approche,10 m,50 km/h,véhicule prioritaire
102589,ensoleillé,nuit,mouillé,60 km/h,150 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,80 km/h,voiture
102685,ensoleillé,nuit,mouillé,60 km/h,150 m,véhicule prioritaire,20 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,aucun
102897,ensoleillé,nuit,mouillé,100 km/h,100 m,voiture,20 m,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,véhicule prioritaire
102915,ensoleillé,nuit,mouillé,100 km/h,100 m,voiture,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,voiture
103227,ensoleillé,nuit,mouillé,100 km/h,100 m,camion,20 m,aucune,véhicule prioritaire,en approche,50 m,30 km/h,aucun
103671,ensoleillé,nuit,mouillé,100 km/h,150 m,voiture,20 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,voiture
103980,ensoleillé,nuit,mouillé,100 km/h,150 m,camion,20 m,aucune,camion,en approche,100 m,30 km/h,aucun
104068,ensoleillé,nuit,mouillé,100 km/h,150 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,voiture
104105,ensoleillé,nuit,mouillé,100 km/h,150 m,véhicule prioritaire,20 m,pressé (travail ou vol),voiture,en approche,100 m,50 km/h,véhicule prioritaire
104400,ensoleillé,nuit,mouillé,100 km/h,200 m,voiture,20 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,voiture
104559,ensoleillé,nuit,mouillé,100 km/h,200 m,camion,20 m,urgence (vers l'hôpital),camion,en approche,50 m,30 km/h,voiture
104880,ensoleillé,nuit,mouillé,100 km/h,200 m,véhicule prioritaire,20 m,pressé (travail ou vol),camion,en approche,100 m,30 km/h,voiture
104922,ensoleillé,nuit,mouillé,100 km/h,200 m,véhicule prioritaire,20 m,aucune,voiture,en approche,10 m,30 km/h,véhicule prioritaire
105126,pluvieux,jour,sec,35 km/h,10 m,voiture,libre,pressé (travail ou vol),camion,en approche,50 m,30 km/h,voiture
105172,pluvieux,jour,sec,35 km/h,10 m,voiture,libre,aucune,véhicule prioritaire,en approche,10 m,80 km/h,aucun
105180,pluvieux,jour,sec,35 km/h,10 m,voiture,libre,aucune,véhicule prioritaire,en approche,50 m,30 km/h,voiture
105306,pluvieux,jour,sec,35 km/h,10 m,camion,libre,pressé (travail ou vol),voiture,en approche,50 m,30 km/h,aucun
105337,pluvieux,jour,sec,35 km/h,10 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,80 km/h,voiture
105431,pluvieux,jour,sec,35 km/h,10 m,camion,libre,aucune,véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
105692,pluvieux,jour,sec,35 km/h,10 m,véhicule prioritaire,libre,aucune,camion,en approche,50 m,50 km/h,voiture
105975,pluvieux,jour,sec,35 km/h,50 m,camion,libre,urgence (vers l'hôpital),voiture,en approche,10 m,30 km/h,véhicule prioritaire
106241,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
106282,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,100 m,80 km/h,voiture
106405,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,10 m,80 km/h,véhicule prioritaire
106502,pluvieux,jour,sec,35 km/h,100 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,50 m,50 km/h,voiture
107085,pluvieux,jour,sec,35 km/h,100 m,véhicule prioritaire,libre,aucune,voiture,en approche,100 m,30 km/h,aucun
107199,pluvieux,jour,sec,60 km/h,50 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,30 km/h,aucun
107434,pluvieux,jour,sec,60 km/h,50 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,80 km/h,aucun
107517,pluvieux,jour,sec,60 km/h,50 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,30 km/h,aucun
107587,pluvieux,jour,sec,60 km/h,50 m,camion,libre,aucune,voiture,en approche,100 m,80 km/h,véhicule prioritaire
107825,pluvieux,jour,sec,60 km/h,50 m,véhicule prioritaire,libre,aucune,voiture,en approche,50 m,50 km/h,voiture
107911,pluvieux,jour,sec,60 km/h,100 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,véhicule prioritaire
107917,pluvieux,jour,sec,60 km/h,100 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,véhicule prioritaire
108080,pluvieux,jour,sec,60 km/h,100 m,voiture,libre,aucune,voiture,en approche,10 m,50 km/h,véhicule prioritaire
108138,pluvieux,jour,sec,60 km/h,100 m,camion,libre,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,aucun
108219,pluvieux,jour,sec,60 km/h,100 m,camion,libre,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,aucun
108222,pluvieux,jour,sec,60 km/h,100 m,camion,libre,pressé (travail ou vol),voiture,en approche,50 m,30 km/h,aucun
108484,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,10 m,80 km/h,véhicule prioritaire
108623,pluvieux,jour,sec,60 km/h,150 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,aucun
109139,pluvieux,jour,sec,60 km/h,150 m,véhicule prioritaire,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,aucun
109202,pluvieux,jour,sec,60 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,voiture
109254,pluvieux,jour,sec,60 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),camion,en approche,100 m,30 km/h,voiture
109308,pluvieux,jour,sec,60 km/h,150 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,100 m,30 km/h,voiture
109570,pluvieux,jour,sec,100 km/h,100 m,voiture,libre,aucune,camion,en approche,50 m,80 km/h,aucun
109582,pluvieux,jour,sec,100 km/h,100 m,voiture,libre,aucune,camion,en approche,10 m,80 km/h,voiture
109678,pluvieux,jour,sec,100 km/h,100 m,camion,libre,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,aucun
109843,pluvieux,jour,sec,100 km/h,100 m,véhicule prioritaire,libre,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,aucun
110097,pluvieux,jour,sec,100 km/h,150 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,10 m,30 km/h,voiture
110142,pluvieux,jour,sec,100 km/h,150 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,aucun
110439,pluvieux,jour,sec,100 km/h,150 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,aucun
110514,pluvieux,jour,sec,100 km/h,150 m,camion,libre,aucune,véhicule prioritaire,en approche,100 m,30 km/h,aucun
110674,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,80 km/h,aucun
110689,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,voiture
110816,pluvieux,jour,sec,100 km/h,200 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,aucun
110903,pluvieux,jour,sec,100 km/h,200 m,voiture,libre,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,voiture
111021,pluvieux,jour,sec,100 km/h,200 m,voiture,libre,aucune,véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
111102,pluvieux,jour,sec,100 km/h,200 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
111155,pluvieux,jour,sec,100 km/h,200 m,camion,libre,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,véhicule prioritaire
111225,pluvieux,jour,sec,100 km/h,200 m,camion,libre,aucune,voiture,en approche,100 m,30 km/h,voiture
111245,pluvieux,jour,sec,100 km/h,200 m,camion,libre,aucune,véhicule prioritaire,en approche,50 m,50 km/h,aucun
111323,pluvieux,jour,sec,100 km/h,200 m,véhicule prioritaire,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,aucun
111495,pluvieux,jour,sec,100 km/h,200 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,100 m,30 km/h,voiture
111584,pluvieux,jour,sec,35 km/h,10 m,voiture,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,véhicule prioritaire
111749,pluvieux,jour,sec,35 km/h,10 m,voiture,100 m,aucune,véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
111860,pluvieux,jour,sec,35 km/h,10 m,camion,100 m,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,véhicule prioritaire
111992,pluvieux,jour,sec,35 km/h,10 m,camion,100 m,aucune,véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
112157,pluvieux,jour,sec,35 km/h,10 m,véhicule prioritaire,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
112336,pluvieux,jour,sec,35 km/h,50 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,voiture
112426,pluvieux,jour,sec,35 km/h,50 m,voiture,100 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,véhicule prioritaire
112680,pluvieux,jour,sec,35 km/h,50 m,camion,100 m,aucune,voiture,en approche,10 m,30 km/h,aucun
112772,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,véhicule prioritaire
112990,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,100 m,aucune,camion,en approche,50 m,80 km/h,véhicule prioritaire
113457,pluvieux,jour,sec,35 km/h,100 m,camion,100 m,aucune,camion,en approche,100 m,30 km/h,aucun
113589,pluvieux,jour,sec,35 km/h,100 m,véhicule prioritaire,100 m,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,véhicule prioritaire
113751,pluvieux,jour,sec,60 km/h,50 m,voiture,100 m,urgence (vers l'hôpital),voiture,en approche,10 m,30 km/h,véhicule prioritaire
113833,pluvieux,jour,sec,60 km/h,50 m,voiture,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,80 km/h,aucun
114108,pluvieux,jour,sec,60 km/h,50 m,camion,100 m,pressé (travail ou vol),camion,en approche,50 m,30 km/h,aucun
114246,pluvieux,jour,sec,60 km/h,50 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,30 km/h,aucun
114515,pluvieux,jour,sec,60 km/h,100 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,aucun
114658,pluvieux,jour,sec,60 km/h,100 m,voiture,100 m,aucune,véhicule prioritaire,en approche,10 m,80 km/h,voiture
115123,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,100 m,aucune,voiture,en approche,50 m,80 km/h,véhicule prioritaire
115126,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,100 m,aucune,voiture,en approche,10 m,80 km/h,véhicule prioritaire
115203,pluvieux,jour,sec,60 km/h,150 m,voiture,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
115616,pluvieux,jour,sec,60 km/h,150 m,camion,100 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,aucun
115639,pluvieux,jour,sec,60 km/h,150 m,camion,100 m,aucune,véhicule prioritaire,en approche,10 m,80 km/h,véhicule prioritaire
116195,pluvieux,jour,sec,100 km/h,100 m,camion,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,voiture
116467,pluvieux,jour,sec,100 km/h,100 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,voiture
116710,pluvieux,jour,sec,100 km/h,150 m,voiture,100 m,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,voiture
116779,pluvieux,jour,sec,100 km/h,150 m,voiture,100 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,aucun
116893,pluvieux,jour,sec,100 km/h,150 m,camion,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,voiture
116903,pluvieux,jour,sec,100 km/h,150 m,camion,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,véhicule prioritaire
116996,pluvieux,jour,sec,100 km/h,150 m,camion,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,50 km/h,aucun
117107,pluvieux,jour,sec,100 km/h,150 m,camion,100 m,aucune,camion,en approche,10 m,50 km/h,aucun
117170,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,50 km/h,voiture
117260,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
117326,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,100 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,voiture
117506,pluvieux,jour,sec,100 km/h,200 m,voiture,100 m,pressé (travail ou vol),camion,en approche,100 m,50 km/h,aucun
117574,pluvieux,jour,sec,100 km/h,200 m,voiture,100 m,aucune,véhicule prioritaire,en approche,10 m,80 km/h,voiture
117625,pluvieux,jour,sec,100 km/h,200 m,camion,100 m,urgence (vers l'hôpital),voiture,en approche,50 m,80 km/h,voiture
117637,pluvieux,jour,sec,100 km/h,200 m,camion,100 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,véhicule prioritaire
117643,pluvieux,jour,sec,100 km/h,200 m,camion,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,aucun
118139,pluvieux,jour,sec,35 km/h,10 m,voiture,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,voiture
118420,pluvieux,jour,sec,35 km/h,10 m,camion,50 m,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,véhicule prioritaire
118775,pluvieux,jour,sec,35 km/h,10 m,véhicule prioritaire,50 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,aucun
118853,pluvieux,jour,sec,35 km/h,50 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,véhicule prioritaire
118930,pluvieux,jour,sec,35 km/h,50 m,voiture,50 m,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,véhicule prioritaire
119056,pluvieux,jour,sec,35 km/h,50 m,voiture,50 m,aucune,camion,en approche,50 m,80 km/h,voiture
119117,pluvieux,jour,sec,35 km/h,50 m,camion,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,véhicule prioritaire
119207,pluvieux,jour,sec,35 km/h,50 m,camion,50 m,pressé (travail ou vol),camion,en approche,100 m,50 km/h,aucun
119227,pluvieux,jour,sec,35 km/h,50 m,camion,50 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,véhicule prioritaire
119254,pluvieux,jour,sec,35 km/h,50 m,camion,50 m,aucune,voiture,en approche,50 m,80 km/h,véhicule prioritaire
119324,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,voiture
119334,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
119354,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,voiture
119377,pluvieux,jour,sec,35 km/h,50 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,voiture
119709,pluvieux,jour,sec,35 km/h,100 m,voiture,50 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,voiture
119793,pluvieux,jour,sec,35 km/h,100 m,voiture,50 m,aucune,camion,en approche,100 m,30 km/h,véhicule prioritaire
119911,pluvieux,jour,sec,35 km/h,100 m,camion,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,aucun
119983,pluvieux,jour,sec,35 km/h,100 m,camion,50 m,aucune,voiture,en approche,50 m,80 km/h,véhicule prioritaire
120292,pluvieux,jour,sec,60 km/h,50 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,aucun
120436,pluvieux,jour,sec,60 km/h,50 m,voiture,50 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,voiture
120696,pluvieux,jour,sec,60 km/h,50 m,camion,50 m,aucune,voiture,en approche,50 m,30 km/h,aucun
120724,pluvieux,jour,sec,60 km/h,50 m,camion,50 m,aucune,véhicule prioritaire,en approche,10 m,80 km/h,aucun
120772,pluvieux,jour,sec,60 km/h,50 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,aucun
120811,pluvieux,jour,sec,60 km/h,50 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,voiture
120867,pluvieux,jour,sec,60 km/h,50 m,véhicule prioritaire,50 m,pressé (travail ou vol),voiture,en approche,50 m,30 km/h,voiture
120941,pluvieux,jour,sec,60 km/h,50 m,véhicule prioritaire,50 m,aucune,voiture,en approche,10 m,50 km/h,aucun
121221,pluvieux,jour,sec,60 km/h,100 m,voiture,50 m,aucune,véhicule prioritaire,en approche,10 m,30 km/h,voiture
121556,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,aucun
121612,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,aucun
121623,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,30 km/h,voiture
121694,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,50 m,aucune,véhicule prioritaire,en approche,50 m,50 km/h,aucun
121742,pluvieux,jour,sec,60 km/h,100 m,véhicule prioritaire,50 m,aucune,camion,en approche,10 m,50 km/h,véhicule prioritaire
121815,pluvieux,jour,sec,60 km/h,150 m,voiture,50 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,voiture
121829,pluvieux,jour,sec,60 km/h,150 m,voiture,50 m,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,aucun
121929,pluvieux,jour,sec,60 km/h,150 m,voiture,50 m,aucune,voiture,en approche,50 m,30 km/h,véhicule prioritaire
122075,pluvieux,jour,sec,60 km/h,150 m,camion,50 m,pressé (travail ou vol),voiture,en approche,10 m,50 km/h,aucun
122199,pluvieux,jour,sec,60 km/h,150 m,camion,50 m,aucune,véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
122247,pluvieux,jour,sec,60 km/h,150 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,30 km/h,voiture
122555,pluvieux,jour,sec,100 km/h,100 m,voiture,50 m,pressé (travail ou vol),voiture,en approche,100 m,50 km/h,aucun
122629,pluvieux,jour,sec,100 km/h,100 m,voiture,50 m,pressé (travail ou vol),camion,en approche,50 m,80 km/h,véhicule prioritaire
122697,pluvieux,jour,sec,100 km/h,100 m,voiture,50 m,aucune,camion,en approche,10 m,30 km/h,aucun
122827,pluvieux,jour,sec,100 km/h,100 m,camion,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,aucun
123033,pluvieux,jour,sec,100 km/h,100 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),camion,en approche,100 m,30 km/h,véhicule prioritaire
123066,pluvieux,jour,sec,100 km/h,100 m,véhicule prioritaire,50 m,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,véhicule prioritaire
123227,pluvieux,jour,sec,100 km/h,150 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,véhicule prioritaire
123507,pluvieux,jour,sec,100 km/h,150 m,camion,50 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,aucun
123535,pluvieux,jour,sec,100 km/h,150 m,camion,50 m,pressé (travail ou vol),voiture,en approche,100 m,80 km/h,voiture
123701,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,50 m,50 km/h,voiture
123823,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,pressé (travail ou vol),camion,en approche,100 m,80 km/h,aucun
123842,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,pressé (travail ou vol),camion,en approche,100 m,50 km/h,véhicule prioritaire
123889,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,aucune,véhicule prioritaire,en approche,50 m,80 km/h,voiture
123921,pluvieux,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,aucune,camion,en approche,10 m,30 km/h,voiture
123931,pluvieux,jour,sec,100 km/h,200 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,aucun
123947,pluvieux,jour,sec,100 km/h,200 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,voiture
124146,pluvieux,jour,sec,100 km/h,200 m,voiture,50 m,aucune,véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
124248,pluvieux,jour,sec,100 km/h,200 m,camion,50 m,urgence (vers l'hôpital),camion,en approche,100 m,30 km/h,véhicule prioritaire
124611,pluvieux,jour,sec,100 km/h,200 m,véhicule prioritaire,50 m,aucune,véhicule prioritaire,en approche,50 m,30 km/h,aucun
124654,pluvieux,jour,sec,100 km/h,200 m,véhicule prioritaire,50 m,aucune,camion,en approche,50 m,80 km/h,véhicule prioritaire
124953,pluvieux,jour,sec,35 km/h,10 m,camion,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,véhicule prioritaire
125036,pluvieux,jour,sec,35 km/h,10 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
125247,pluvieux,jour,sec,35 km/h,10 m,véhicule prioritaire,20 m,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,véhicule prioritaire
125274,pluvieux,jour,sec,35 km/h,10 m,véhicule prioritaire,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,30 km/h,véhicule prioritaire
125345,pluvieux,jour,sec,35 km/h,10 m,véhicule prioritaire,20 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,voiture
125360,pluvieux,jour,sec,35 km/h,10 m,véhicule prioritaire,20 m,aucune,véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
125716,pluvieux,jour,sec,35 km/h,50 m,camion,20 m,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,aucun
125761,pluvieux,jour,sec,35 km/h,50 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,véhicule prioritaire
125838,pluvieux,jour,sec,35 km/h,50 m,camion,20 m,aucune,véhicule prioritaire,en approche,10 m,30 km/h,voiture
